,age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,reference,income,cpf,score_serasa
0,67,male,2,own,,little,1169,6,radio/TV,good,2023-01,,410.927.380-37,102
1,22,female,2,own,little,moderate,5951,48,radio/TV,bad,2023-02,,940.860.054-17,435
2,49,male,1,own,little,,2096,12,education,good,2023-03,,876.796.778-75,860
3,45,male,2,free,little,little,7882,42,furniture/equipment,good,2023-04,,132.482.294-54,270
4,53,male,2,free,little,little,4870,24,car,bad,2023-01,,730.133.071-53,106
5,35,male,1,free,,,9055,36,education,good,2023-02,2095.0,733.399.086-99,71
6,53,male,2,own,quite rich,,2835,24,furniture/equipment,good,2023-03,,406.146.420-51,700
7,35,male,3,rent,little,moderate,6948,36,car,good,2023-04,,735.786.363-80,20
8,61,male,1,own,rich,,3059,12,radio/TV,good,2023-01,,979.008.142-13,614
9,28,male,3,own,little,moderate,5234,30,car,bad,2023-02,,764.401.699-63,121
10,25,female,2,rent,little,moderate,1295,12,car,bad,2023-03,,860.357.578-98,466
11,24,female,2,rent,little,little,4308,48,business,bad,2023-04,,658.665.778-44,214
12,22,female,2,own,little,moderate,1567,12,radio/TV,good,2023-01,,358.846.478-67,330
13,60,male,1,own,little,little,1199,24,car,bad,2023-02,,946.770.499-47,458
14,28,female,2,rent,little,little,1403,15,car,good,2023-03,,892.146.708-46,87
15,32,female,1,own,moderate,little,1282,24,radio/TV,bad,2023-04,,536.466.133-43,372
16,53,male,2,own,,,2424,24,radio/TV,good,2023-01,,935.621.650-99,99
17,25,male,2,own,,little,8072,30,business,good,2023-02,,535.599.137-80,871
18,44,female,3,free,little,moderate,12579,24,car,bad,2023-03,,814.388.813-47,663
19,31,male,2,own,quite rich,,3430,24,radio/TV,good,2023-04,,604.021.955-66,130
20,48,male,2,own,little,,2134,9,car,good,2023-01,,129.105.135-05,661
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good,2023-02,,199.148.148-91,308
22,48,male,1,rent,little,little,2241,10,car,good,2023-03,,249.777.971-67,769
23,44,male,2,own,moderate,moderate,1804,12,car,good,2023-04,,830.556.909-82,343
24,26,male,2,own,,,2069,10,furniture/equipment,good,2023-01,,346.058.522-63,491
25,36,male,1,own,little,little,1374,6,furniture/equipment,good,2023-02,,871.401.372-00,413
26,39,male,1,own,little,,426,6,radio/TV,good,2023-03,,327.744.494-56,805
27,42,female,2,rent,rich,rich,409,12,radio/TV,good,2023-04,,238.556.571-49,385
28,34,male,2,own,little,moderate,2415,7,radio/TV,good,2023-01,,268.196.386-98,191
29,63,male,2,own,little,little,6836,60,business,bad,2023-02,,447.600.519-53,955
30,36,male,2,own,rich,moderate,1913,18,business,good,2023-03,,363.314.575-34,276
31,27,male,2,own,little,little,4020,24,furniture/equipment,good,2023-04,,484.942.185-73,160
32,30,male,2,own,moderate,moderate,5866,18,car,good,2023-01,,573.879.971-28,459
33,57,male,1,rent,,,1264,12,business,good,2023-02,,743.837.953-15,313
34,33,female,3,own,little,rich,1474,12,furniture/equipment,good,2023-03,,197.169.328-63,21
35,25,male,1,own,little,moderate,4746,45,radio/TV,bad,2023-04,,802.438.019-63,252
36,31,male,2,free,little,,6110,48,education,good,2023-01,,414.280.025-61,747
37,37,male,2,own,little,rich,2100,18,radio/TV,bad,2023-02,,623.496.792-25,856
38,37,male,2,own,little,rich,1225,10,domestic appliances,good,2023-03,,196.555.357-54,560
39,24,male,2,own,little,moderate,458,9,radio/TV,good,2023-04,,878.030.538-58,474
40,30,male,3,own,quite rich,,2333,30,radio/TV,good,2023-01,,629.237.254-50,58
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good,2023-02,,877.895.262-00,510
42,44,male,1,own,little,moderate,6204,18,repairs,good,2023-03,,569.937.259-83,681
43,24,male,2,rent,moderate,little,6187,30,car,good,2023-04,,879.271.753-51,475
44,58,female,1,free,little,little,6143,48,car,bad,2023-01,,313.808.166-53,699
45,35,female,3,own,little,,1393,11,car,good,2023-02,,208.075.916-70,975
46,39,male,2,own,quite rich,,2299,36,radio/TV,good,2023-03,,892.787.102-29,782
47,23,female,0,rent,quite rich,little,1352,6,car,good,2023-04,,997.846.854-42,189
48,39,male,1,own,little,,7228,11,car,good,2023-01,,294.468.798-09,957
49,28,female,2,own,moderate,,2073,12,radio/TV,good,2023-02,,559.032.887-07,686
50,29,male,1,own,,moderate,2333,24,furniture/equipment,good,2023-03,3734.0,286.432.752-04,957
51,30,male,3,own,little,moderate,5965,27,car,good,2023-04,,389.103.785-65,562
52,25,male,2,own,little,,1262,12,radio/TV,good,2023-01,,895.550.140-43,875
53,31,male,2,own,,,3378,18,car,good,2023-02,,128.186.921-05,566
54,57,male,2,free,little,moderate,2225,36,car,bad,2023-03,,820.491.447-41,243
55,26,male,1,own,,,783,6,car,good,2023-04,,849.589.587-03,831
56,52,male,3,own,,moderate,6468,12,radio/TV,bad,2023-01,,473.829.493-89,504
57,31,female,2,own,little,,9566,36,radio/TV,good,2023-02,,340.486.150-76,130
58,23,female,3,own,little,rich,1961,18,car,good,2023-03,,382.388.277-52,484
59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad,2023-04,,315.721.344-02,818
60,27,male,2,own,little,moderate,1391,9,business,good,2023-01,,630.470.059-82,646
61,50,male,2,own,,moderate,1537,15,radio/TV,good,2023-02,,286.455.415-13,20
62,61,male,3,free,little,moderate,1953,36,business,bad,2023-03,,213.813.164-50,840
63,25,male,2,own,little,moderate,14421,48,business,bad,2023-04,,671.880.809-17,166
64,26,female,2,own,little,,3181,24,radio/TV,good,2023-01,,582.343.470-71,273
65,48,male,2,own,,,5190,27,repairs,good,2023-02,,965.020.794-58,387
66,29,female,2,own,little,,2171,12,radio/TV,good,2023-03,,111.098.252-69,600
67,22,male,2,own,rich,moderate,1007,12,car,good,2023-04,,536.419.446-94,315
68,37,male,2,free,little,,1819,36,education,bad,2023-01,,692.641.941-85,13
69,25,female,2,own,,,2394,36,radio/TV,good,2023-02,,397.163.893-70,241
70,30,female,2,own,little,,8133,36,car,good,2023-03,,165.176.852-86,776
71,46,male,1,rent,,,730,7,radio/TV,good,2023-04,,676.412.373-04,345
72,51,male,3,free,little,little,1164,8,vacation/others,good,2023-01,,501.745.115-31,564
73,41,female,1,own,little,moderate,5954,42,business,good,2023-02,,287.878.425-13,897
74,40,male,3,own,,little,1977,36,education,bad,2023-03,,729.667.598-52,339
75,66,male,3,free,little,little,1526,12,car,good,2023-04,,576.659.721-52,91
76,34,male,2,own,little,little,3965,42,radio/TV,bad,2023-01,,850.646.231-27,366
77,51,male,2,own,little,moderate,4771,11,radio/TV,good,2023-02,,791.612.025-92,955
78,39,male,1,own,,,9436,54,car,good,2023-03,,575.764.344-73,454
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good,2023-04,,485.951.356-81,427
80,44,female,2,own,,,5943,24,radio/TV,bad,2023-01,,769.547.177-11,508
81,47,male,2,own,quite rich,,1213,15,radio/TV,good,2023-02,,744.344.391-97,775
82,24,female,1,rent,moderate,,1568,18,business,good,2023-03,,185.661.847-18,942
83,58,female,1,own,little,little,1755,24,vacation/others,good,2023-04,1775.0,544.191.439-40,34
84,52,male,1,own,little,little,2315,10,radio/TV,good,2023-01,,343.254.320-43,205
85,29,female,3,own,little,,1412,12,business,good,2023-02,,124.245.082-32,80
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good,2023-03,,231.106.084-80,931
87,47,male,2,free,moderate,moderate,12612,36,education,bad,2023-04,,323.598.147-02,561
88,30,male,3,own,moderate,little,2249,18,car,good,2023-01,,206.541.105-81,871
